Reviewer,Rating,Review,Business,Scraped_At,Translated,Original_Language
Sunny P,5 stars,Vegan friendly and the staff were lovely,Erikslusts Pizzeria Malmö,2025-08-22T09:27:29.006496,False,en
Björn Kocken,3 stars,Ok,Erikslusts Pizzeria Malmö,2025-08-22T09:27:31.175660,False,en
Mattias Svensson,4 stars,Nice pizza and service,Erikslusts Pizzeria Malmö,2025-08-22T09:27:32.657111,False,en
Quite Naturally,5 stars,Extra,Erikslusts Pizzeria Malmö,2025-08-22T09:27:33.713043,False,en
Jonathan Wiklöf,4 stars,No review text,Erikslusts Pizzeria Malmö,2025-08-22T09:27:34.247660,False,
Edward Mccorry,5 stars,Fantastic pizza,Erikslusts Pizzeria Malmö,2025-08-22T09:27:35.268842,False,en
pine,4 stars,Best pizza,Erikslusts Pizzeria Malmö,2025-08-22T09:27:36.272257,False,en
Oliver Abens,4 stars,Decent pizza,Erikslusts Pizzeria Malmö,2025-08-22T09:27:37.280681,False,en
Krzysztof Rydzynski,4 stars,lovely pizza,Erikslusts Pizzeria Malmö,2025-08-22T09:27:38.300287,False,en
Adam Papadopoulos,3 stars,Ok,Erikslusts Pizzeria Malmö,2025-08-22T09:27:39.317643,False,en
Rikard,3 stars,"OK waiting time on New Year's Day, which is a famous pizza day. Friendly service. The pizzas OK. However, the gluten-free one was made with a miserable dough that was spongy in the middle and burnt on the edges - I've had much better gluten-free bases elsewhere. Generous with toppings.",Erikslusts Pizzeria Malmö,2025-08-22T09:27:40.361928,False,en
Sergiusz Wieliczka,5 stars,"I give the place 5 stars. They satisfied my hunger after the race to the fullest. They didn't make the bourgueil with all the ingredients, but they made a new …",Erikslusts Pizzeria Malmö,2025-08-22T09:27:41.403311,False,en
Johanna Larsson,5 stars,Good pizzas. Nice staff. Orders have been processed fairly quickly. Many vegetarian options! Also available gluten-free and vegan.,Erikslusts Pizzeria Malmö,2025-08-22T09:27:42.422940,False,en
Anders Sandegård,1 star,"Took 1h 15 min to get our food. Or even worse, one got it after 30 min, one after 50 min and the last one after 1h 15 min. So we didn't eat together. The pizza that came last was also wrong. Had paid for two extra ingredients, they weren't there either.",Erikslusts Pizzeria Malmö,2025-08-22T09:27:43.447555,False,en
Lina Cederberg,1 star,"Ordered home a gluten-free Hawaii, was at first pleasantly surprised that it appeared to be homemade base. But it was completely inedible. Consistency like rubber. Then you can think that it is a plus with generous amounts of cheese and …",Erikslusts Pizzeria Malmö,2025-08-22T09:27:44.462625,False,en
Eric Helmer,5 stars,"we sat outside on the nice outdoor terrace with the morning sun however nice, The pizza was incredibly good and made to order …",Erikslusts Pizzeria Malmö,2025-08-22T09:27:45.542866,False,en
Frida Lübeck,1 star,First time ordering from this pizzeria and never been more dissatisfied and disappointed before. …,Erikslusts Pizzeria Malmö,2025-08-22T09:27:46.920830,False,en
Stellan Davidsson,1 star,"Jack Vegas attracts a certain clientele. Food ok, but very friendly staff.",Erikslusts Pizzeria Malmö,2025-08-22T09:27:48.165318,False,en
Zacharias Nysterud,1 star,"The delivery time was 40-50 minutes, when 90 had passed we called and asked where the pizzas were and what the reason for the delay was and were met with unpleasantness, shouts, screams and laughter. Extremely poor service and we will be in touch to hopefully get the man who answered fired. Avoid this restaurant.",Erikslusts Pizzeria Malmö,2025-08-22T09:27:49.166645,False,en
Enter your full name,4 stars,"Good pizzas, nice staff, calm friendly clientele and cold beer. What more could you ask for? Better news on TV perhaps …",Erikslusts Pizzeria Malmö,2025-08-22T09:27:50.210864,False,en
Anton Sandman,1 star,Ordered vegan kebab pizza but got no sauce and no iceberg lettuce. Good pizza but disappointed that I didn't get what I ordered.,Erikslusts Pizzeria Malmö,2025-08-22T09:27:51.250523,False,en
Oscar Andersson,2 stars,"Good pizza, Gyros pizza, but bad service. Was supposed to have delivery after 40 minutes but it took 1h and 20 minutes. Called after 50 minutes and then the pizza would be there right away. It is recommended to pick up the pizza yourself",Erikslusts Pizzeria Malmö,2025-08-22T09:27:53.182965,False,en
Dane,1 star,"Oh my, this has to be a joke. The bread was burnt and it doesn't take long to replace the bread!! (I see they tried to remove my review)",Erikslusts Pizzeria Malmö,2025-08-22T09:27:54.190346,False,en
Stanislav Sevcuk,5 stars,Ordered from fodora because it was free shipping. What a pleasant surprise it was. Superb pizzas and fast delivery. Also nice offer. Top rating!!,Erikslusts Pizzeria Malmö,2025-08-22T09:27:55.242466,False,en
Nick Land,1 star,Ordered home from here about 1 month ago when I watched a clip with people testing Malmö's best kebab pizzas on Youtube. Erikslust pizzeria got good reviews so I thought I'd give it a try. I can say that the pizza I got was not as big with …,Erikslusts Pizzeria Malmö,2025-08-22T09:27:56.294645,False,en
To j,5 stars,Best gluten-free pizza I've had in a long time! Great service when taking home!,Erikslusts Pizzeria Malmö,2025-08-22T09:27:58.484051,False,en
Anders Boström,3 stars,"Feels like cheap cheese, ordered Hawaii pizza got no pineapple. Ordered home delivery. Got the message in 1 hour, which is a bit strange as it is about 5 minutes from the pizzeria to my home. But it took 1.5h",Erikslusts Pizzeria Malmö,2025-08-22T09:27:59.525365,False,en
Anders Wallin,2 stars,"A pizzeria that survives because of the better ones is too far away, and they make money on slot machines. The pizza is a rock bottom. Just on the verge of being edible. …",Erikslusts Pizzeria Malmö,2025-08-22T09:28:00.546915,False,en
Claes Nordström,4 stars,Good pizzas with lots of filling,Erikslusts Pizzeria Malmö,2025-08-22T09:28:02.659148,False,en
Zackaria enassi,1 star,I ordered a Bresaola pizza but didn't get any Bresaola on it. When I call I get silence and after 6 minutes I end the call. I don't know what they are doing there. Never again,Erikslusts Pizzeria Malmö,2025-08-22T09:28:04.986708,False,en
Caroline Almqvist,1 star,"Warning!! We ordered pizza at 19 and received the expected delivery at 20.10. When we call at 20.45, it is ""a few minutes away"". When we call again at 21.15, they have not received an order even though we have already paid online and they …",Erikslusts Pizzeria Malmö,2025-08-22T09:28:06.052094,False,en
Michael Thorup,5 stars,"Ordered 2 family pizzas from here yesterday and must say WOW. They really were perfect. So satisfied, will definitely choose you next time.",Erikslusts Pizzeria Malmö,2025-08-22T09:28:07.056548,False,en
